customer_id,tenure_months,monthly_fee,support_tickets,contract_type,last_login_days,region,churn
CUST00001,47,25.13,1,monthly,10,busan,no
CUST00002,47,21.41,3,monthly,53,gwangju,no
CUST00003,25,47.02,2,monthly,28,gwangju,no
CUST00004,27,31.93,2,monthly,89,busan,yes
CUST00005,3,40.19,2,monthly,66,daejeon,yes
CUST00006,34,40.76,0,monthly,86,busan,no
CUST00007,37,34.49,2,annual,13,daejeon,no
CUST00008,55,61.79,1,monthly,62,busan,no
CUST00009,11,52.36,0,two_year,77,daegu,yes
CUST00010,52,53.8,4,two_year,29,busan,no
CUST00011,32,29.21,0,monthly,45,gwangju,yes
CUST00012,57,33.62,1,annual,83,busan,no
CUST00013,1,9.9,0,monthly,78,daejeon,yes
CUST00014,50,67.83,0,two_year,12,gwangju,no
CUST00015,33,66.45,1,two_year,85,daegu,yes
CUST00016,70,35.23,1,annual,73,daegu,no
CUST00017,31,50.9,1,annual,66,busan,no
CUST00018,40,59.92,1,monthly,42,busan,no
CUST00019,67,41.75,2,two_year,37,daegu,no
CUST00020,37,29.82,2,monthly,7,daegu,no
CUST00021,19,60.64,3,monthly,54,seoul,no
CUST00022,31,25.31,2,monthly,59,busan,no
CUST00023,3,32.9,3,monthly,63,busan,yes
CUST00024,61,51.33,1,monthly,74,busan,no
CUST00025,64,34.64,1,two_year,87,busan,no
CUST00026,19,42.95,0,monthly,41,gwangju,yes
CUST00027,50,52.47,0,annual,35,daejeon,no
CUST00028,52,48.91,4,monthly,28,gwangju,no
CUST00029,4,25.34,2,annual,43,gwangju,yes
CUST00030,10,55.97,2,monthly,2,daejeon,yes
CUST00031,6,66.05,2,monthly,66,busan,yes
CUST00032,33,27.23,0,monthly,12,busan,no
CUST00033,15,52.98,1,two_year,9,gwangju,no
CUST00034,38,63.74,2,annual,64,busan,no
CUST00035,20,35.17,4,monthly,68,daegu,yes
CUST00036,56,54.88,1,monthly,85,daegu,no
CUST00037,69,53.44,2,monthly,82,seoul,no
CUST00038,60,48.49,1,annual,19,daejeon,no
CUST00039,60,24.43,0,annual,38,daegu,no
CUST00040,64,27.19,0,two_year,52,daejeon,no
CUST00041,32,80.23,4,monthly,66,daejeon,no
CUST00042,30,73.32,0,monthly,34,daegu,no
CUST00043,59,46.86,0,monthly,78,daegu,no
CUST00044,8,55.75,2,monthly,63,daegu,yes
CUST00045,55,24.51,3,monthly,54,daejeon,no
CUST00046,12,75.69,1,annual,56,daejeon,no
CUST00047,7,50.2,0,monthly,84,daejeon,no
CUST00048,64,31.01,1,monthly,59,gwangju,no
CUST00049,46,41.37,0,two_year,67,daejeon,no
CUST00050,10,27.72,1,annual,8,daejeon,no
CUST00051,29,70.91,1,two_year,29,busan,no
CUST00052,15,26.73,2,monthly,11,gwangju,yes
CUST00053,54,54.44,1,two_year,49,seoul,no
CUST00054,1,46.29,1,monthly,70,daegu,no
CUST00055,67,32.12,0,monthly,60,gwangju,no
CUST00056,31,55.0,3,monthly,38,seoul,no
CUST00057,58,67.69,2,monthly,21,busan,no
CUST00058,58,31.21,1,monthly,64,daegu,no
CUST00059,70,62.27,2,monthly,53,daejeon,no
CUST00060,1,58.71,2,two_year,22,gwangju,no
CUST00061,12,41.83,1,monthly,20,seoul,no
CUST00062,46,42.49,3,two_year,82,gwangju,no
CUST00063,28,50.42,3,monthly,32,seoul,yes
CUST00064,29,44.43,1,monthly,62,busan,no
CUST00065,53,50.38,2,monthly,12,gwangju,no
CUST00066,22,16.58,3,monthly,31,daejeon,yes
CUST00067,58,32.29,0,monthly,69,daejeon,no
CUST00068,29,38.68,0,annual,62,daejeon,no
CUST00069,51,78.73,2,annual,84,daejeon,no
CUST00070,53,30.5,3,monthly,72,seoul,no
CUST00071,5,47.28,3,monthly,22,gwangju,no
CUST00072,70,9.9,1,annual,76,daejeon,no
CUST00073,9,46.13,0,monthly,43,daejeon,no
CUST00074,71,43.72,4,two_year,41,daejeon,no
CUST00075,60,32.76,1,two_year,39,seoul,no
CUST00076,60,31.26,1,two_year,10,busan,no
CUST00077,6,47.93,4,monthly,75,busan,yes
CUST00078,44,52.62,1,monthly,10,busan,no
CUST00079,4,35.65,1,monthly,8,gwangju,no
CUST00080,17,43.03,0,monthly,72,seoul,yes
CUST00081,40,31.95,2,monthly,71,gwangju,no
CUST00082,31,35.86,2,annual,36,daejeon,no
CUST00083,53,54.57,2,annual,55,daegu,yes
CUST00084,66,49.53,0,monthly,51,busan,no
CUST00085,41,41.21,2,annual,37,daejeon,no
CUST00086,32,54.49,2,monthly,35,gwangju,yes
CUST00087,11,28.52,0,annual,54,seoul,no
CUST00088,49,47.84,0,monthly,41,daegu,no
CUST00089,35,46.67,3,annual,54,seoul,yes
CUST00090,32,67.71,2,two_year,32,daejeon,no
CUST00091,69,57.9,1,annual,22,daejeon,no
CUST00092,64,54.17,0,monthly,86,seoul,yes
CUST00093,69,77.05,1,monthly,12,gwangju,no
CUST00094,22,35.89,0,monthly,63,daejeon,no
CUST00095,46,47.36,0,monthly,42,daejeon,no
CUST00096,18,57.48,2,monthly,25,daejeon,no
CUST00097,27,28.21,2,annual,5,daegu,no
CUST00098,20,40.27,0,two_year,84,daejeon,no
CUST00099,28,43.53,0,two_year,81,gwangju,no
CUST00100,62,47.56,1,monthly,72,seoul,no
CUST00101,35,40.06,0,annual,25,gwangju,no
CUST00102,63,60.52,2,monthly,42,daegu,no
CUST00103,13,23.79,2,two_year,11,gwangju,no
CUST00104,32,57.63,1,monthly,36,daegu,yes
CUST00105,18,48.54,1,annual,88,seoul,no
CUST00106,33,45.06,2,monthly,68,daejeon,yes
CUST00107,66,54.8,3,monthly,43,gwangju,no
CUST00108,13,31.52,0,annual,47,daejeon,no
CUST00109,23,47.19,2,annual,5,daegu,no
CUST00110,27,45.54,2,two_year,12,seoul,no
CUST00111,36,51.05,1,annual,34,gwangju,yes
CUST00112,9,24.68,1,annual,33,busan,yes
CUST00113,14,55.87,1,annual,61,daejeon,yes
CUST00114,66,43.74,1,two_year,63,busan,no
CUST00115,60,33.87,3,annual,71,seoul,no
CUST00116,36,34.4,1,two_year,4,daegu,no
CUST00117,31,30.62,1,monthly,75,daejeon,no
CUST00118,1,64.22,1,monthly,76,gwangju,no
CUST00119,4,51.76,1,monthly,16,gwangju,no
CUST00120,51,41.3,0,monthly,70,seoul,no
CUST00121,5,52.07,3,monthly,40,daegu,yes
CUST00122,68,54.87,2,monthly,44,seoul,yes
CUST00123,60,40.12,2,two_year,85,gwangju,no
CUST00124,27,46.66,2,monthly,23,daejeon,no
CUST00125,29,39.54,1,annual,4,daejeon,no
CUST00126,69,52.55,0,two_year,5,busan,no
CUST00127,19,44.23,1,two_year,27,busan,no
CUST00128,26,34.86,1,annual,52,gwangju,no
CUST00129,66,41.77,2,annual,63,daejeon,no
CUST00130,22,30.32,1,monthly,77,seoul,yes
CUST00131,58,45.98,1,two_year,71,gwangju,no
CUST00132,36,47.19,2,monthly,67,daegu,no
CUST00133,56,85.94,2,two_year,37,busan,no
CUST00134,66,45.81,0,two_year,15,daegu,no
CUST00135,46,23.15,1,annual,52,gwangju,no
CUST00136,19,44.8,0,monthly,89,daejeon,yes
CUST00137,47,35.92,1,monthly,61,gwangju,no
CUST00138,35,32.44,3,monthly,57,busan,no
CUST00139,55,66.18,0,monthly,62,daegu,yes
CUST00140,44,50.66,1,annual,53,daejeon,no
CUST00141,30,58.03,3,annual,78,daegu,no
CUST00142,66,48.43,3,annual,0,daegu,no
CUST00143,44,44.26,3,monthly,88,seoul,yes
CUST00144,27,32.22,1,monthly,36,daegu,no
CUST00145,10,35.3,1,monthly,69,busan,no
CUST00146,67,43.62,3,monthly,1,seoul,no
CUST00147,60,53.3,0,monthly,52,daejeon,no
CUST00148,49,50.0,0,monthly,4,gwangju,no
CUST00149,53,34.78,1,monthly,78,seoul,no
CUST00150,39,41.23,2,two_year,89,gwangju,no
CUST00151,62,37.35,0,monthly,23,daegu,no
CUST00152,52,36.95,3,monthly,76,daegu,yes
CUST00153,7,37.97,1,monthly,7,busan,no
CUST00154,67,44.18,1,monthly,65,gwangju,no
CUST00155,71,50.91,2,annual,30,seoul,no
CUST00156,34,48.81,0,annual,0,daejeon,no
CUST00157,68,18.77,0,monthly,45,gwangju,no
CUST00158,68,52.43,2,two_year,14,seoul,no
CUST00159,66,29.18,1,monthly,80,seoul,no
CUST00160,63,28.06,2,monthly,65,daegu,yes
CUST00161,37,9.9,2,monthly,70,busan,no
CUST00162,40,37.16,0,monthly,86,gwangju,no
CUST00163,28,30.55,2,two_year,13,seoul,no
CUST00164,32,47.11,0,monthly,85,daejeon,no
CUST00165,66,49.19,0,monthly,57,gwangju,no
CUST00166,71,81.36,1,monthly,74,daegu,yes
CUST00167,50,18.74,1,monthly,7,busan,no
CUST00168,65,26.82,0,monthly,83,seoul,no
CUST00169,40,77.95,0,monthly,5,seoul,no
CUST00170,63,38.2,1,annual,82,gwangju,no
CUST00171,14,11.02,2,monthly,48,daegu,no
CUST00172,33,36.17,1,monthly,76,busan,no
CUST00173,37,14.98,3,monthly,46,daejeon,yes
CUST00174,9,34.87,0,two_year,63,daegu,no
CUST00175,29,31.35,2,monthly,10,gwangju,yes
CUST00176,21,30.68,2,annual,74,busan,yes
CUST00177,44,46.93,1,monthly,12,seoul,no
CUST00178,63,39.09,1,two_year,45,busan,no
CUST00179,11,52.72,1,two_year,74,busan,no
CUST00180,56,68.99,0,monthly,58,daegu,no
CUST00181,56,47.49,1,two_year,57,busan,no
CUST00182,50,9.9,1,monthly,79,busan,no
CUST00183,47,71.05,4,monthly,18,seoul,no
CUST00184,50,14.19,1,annual,84,daegu,no
CUST00185,40,36.33,2,monthly,12,gwangju,no
CUST00186,24,40.58,0,monthly,84,gwangju,no
CUST00187,27,40.78,4,monthly,11,seoul,no
CUST00188,47,54.75,1,monthly,20,seoul,no
CUST00189,68,45.62,1,monthly,48,seoul,no
CUST00190,29,43.3,2,annual,9,busan,no
CUST00191,56,38.46,0,two_year,17,seoul,no
CUST00192,45,30.4,1,annual,13,busan,no
CUST00193,11,53.97,5,monthly,55,daegu,yes
CUST00194,29,45.08,2,monthly,64,seoul,yes
CUST00195,51,69.72,1,monthly,57,busan,yes
CUST00196,2,40.22,3,monthly,77,busan,yes
CUST00197,9,37.05,0,two_year,73,daejeon,no
CUST00198,27,53.19,1,annual,2,busan,no
CUST00199,59,48.09,2,monthly,69,gwangju,no
CUST00200,39,34.62,2,monthly,46,gwangju,no
CUST00201,14,35.65,2,two_year,35,seoul,no
CUST00202,25,33.95,0,monthly,3,busan,no
CUST00203,67,38.65,2,two_year,77,seoul,no
CUST00204,30,49.09,4,monthly,65,seoul,yes
CUST00205,3,14.69,1,two_year,45,daegu,no
CUST00206,6,50.01,3,monthly,48,daejeon,yes
CUST00207,67,43.45,0,two_year,73,seoul,no
CUST00208,43,33.55,2,monthly,23,busan,yes
CUST00209,65,81.69,2,monthly,45,daegu,no
CUST00210,60,38.04,3,monthly,56,gwangju,yes
CUST00211,2,57.4,2,annual,49,gwangju,no
CUST00212,19,61.89,1,two_year,54,seoul,no
CUST00213,23,52.94,3,monthly,58,daegu,yes
CUST00214,64,48.2,3,annual,44,daegu,no
CUST00215,54,68.56,0,monthly,78,daejeon,no
CUST00216,53,49.44,0,monthly,60,daegu,no
CUST00217,35,20.86,1,monthly,87,daejeon,no
CUST00218,45,20.15,1,annual,77,seoul,no
CUST00219,24,27.03,0,two_year,74,daegu,no
CUST00220,26,44.7,1,annual,24,seoul,no
CUST00221,2,50.82,0,two_year,88,daegu,no
CUST00222,40,43.31,2,monthly,10,gwangju,no
CUST00223,56,51.64,1,monthly,82,seoul,no
CUST00224,18,34.65,2,annual,8,busan,no
CUST00225,64,76.63,1,monthly,20,daejeon,no
CUST00226,36,27.84,0,two_year,42,busan,no
CUST00227,54,30.65,1,two_year,9,daegu,no
CUST00228,22,68.73,1,two_year,78,gwangju,yes
CUST00229,32,46.32,1,annual,57,seoul,no
CUST00230,27,39.14,3,monthly,77,busan,yes
CUST00231,60,51.93,1,monthly,59,busan,yes
CUST00232,6,50.37,0,monthly,83,busan,yes
CUST00233,19,20.52,1,monthly,40,seoul,yes
CUST00234,16,30.53,3,monthly,23,busan,no
CUST00235,23,45.16,2,monthly,76,gwangju,yes
CUST00236,15,52.07,1,two_year,67,seoul,no
CUST00237,41,26.38,2,monthly,34,daejeon,no
CUST00238,57,15.47,0,monthly,5,daejeon,no
CUST00239,38,35.9,1,monthly,78,seoul,no
CUST00240,4,49.5,0,two_year,1,daegu,yes
