customer_id,tenure_months,monthly_fee,support_tickets,contract_type,last_login_days,region,churn,churn_reason,account_closed_date,exit_survey_score
CUST00001,47,25.13,1,monthly,10,busan,no,,,7.76
CUST00002,47,21.41,3,monthly,53,gwangju,no,,,6.84
CUST00003,25,47.02,2,monthly,28,gwangju,no,,,8.93
CUST00004,27,31.93,2,monthly,89,busan,yes,price,2025-10-29,2.79
CUST00005,3,40.19,2,monthly,66,daejeon,yes,competitor,2025-07-24,1.72
CUST00006,34,40.76,0,monthly,86,busan,no,,,8.21
CUST00007,37,34.49,2,annual,13,daejeon,no,,,7.56
CUST00008,55,61.79,1,monthly,62,busan,no,,,8.59
CUST00009,11,52.36,0,two_year,77,daegu,yes,competitor,2025-01-11,2.08
CUST00010,52,53.8,4,two_year,29,busan,no,,,8.41
CUST00011,32,29.21,0,monthly,45,gwangju,yes,price,2025-10-05,2.5
CUST00012,57,33.62,1,annual,83,busan,no,,,7.14
CUST00013,1,9.9,0,monthly,78,daejeon,yes,moved,2025-08-11,2.15
CUST00014,50,67.83,0,two_year,12,gwangju,no,,,8.22
CUST00015,33,66.45,1,two_year,85,daegu,yes,competitor,2025-01-09,1.62
CUST00016,70,35.23,1,annual,73,daegu,no,,,7.98
CUST00017,31,50.9,1,annual,66,busan,no,,,9.37
CUST00018,40,59.92,1,monthly,42,busan,no,,,8.87
CUST00019,67,41.75,2,two_year,37,daegu,no,,,8.84
CUST00020,37,29.82,2,monthly,7,daegu,no,,,8.23
CUST00021,19,60.64,3,monthly,54,seoul,no,,,8.82
CUST00022,31,25.31,2,monthly,59,busan,no,,,8.39
CUST00023,3,32.9,3,monthly,63,busan,yes,price,2025-07-03,2.17
CUST00024,61,51.33,1,monthly,74,busan,no,,,8.02
CUST00025,64,34.64,1,two_year,87,busan,no,,,8.82
CUST00026,19,42.95,0,monthly,41,gwangju,yes,price,2025-08-11,1.76
CUST00027,50,52.47,0,annual,35,daejeon,no,,,7.22
CUST00028,52,48.91,4,monthly,28,gwangju,no,,,9.7
CUST00029,4,25.34,2,annual,43,gwangju,yes,competitor,2025-12-13,2.28
CUST00030,10,55.97,2,monthly,2,daejeon,yes,moved,2026-01-27,2.65
CUST00031,6,66.05,2,monthly,66,busan,yes,price,2025-09-07,2.13
CUST00032,33,27.23,0,monthly,12,busan,no,,,8.77
CUST00033,15,52.98,1,two_year,9,gwangju,no,,,9.83
CUST00034,38,63.74,2,annual,64,busan,no,,,8.21
CUST00035,20,35.17,4,monthly,68,daegu,yes,moved,2026-01-26,1.22
CUST00036,56,54.88,1,monthly,85,daegu,no,,,8.68
CUST00037,69,53.44,2,monthly,82,seoul,no,,,9.02
CUST00038,60,48.49,1,annual,19,daejeon,no,,,8.68
CUST00039,60,24.43,0,annual,38,daegu,no,,,8.23
CUST00040,64,27.19,0,two_year,52,daejeon,no,,,8.32
CUST00041,32,80.23,4,monthly,66,daejeon,no,,,7.87
CUST00042,30,73.32,0,monthly,34,daegu,no,,,9.06
CUST00043,59,46.86,0,monthly,78,daegu,no,,,8.44
CUST00044,8,55.75,2,monthly,63,daegu,yes,price,2025-08-16,2.69
CUST00045,55,24.51,3,monthly,54,daejeon,no,,,8.24
CUST00046,12,75.69,1,annual,56,daejeon,no,,,8.27
CUST00047,7,50.2,0,monthly,84,daejeon,no,,,7.31
CUST00048,64,31.01,1,monthly,59,gwangju,no,,,8.48
CUST00049,46,41.37,0,two_year,67,daejeon,no,,,8.33
CUST00050,10,27.72,1,annual,8,daejeon,no,,,8.67
CUST00051,29,70.91,1,two_year,29,busan,no,,,8.13
CUST00052,15,26.73,2,monthly,11,gwangju,yes,moved,2025-11-22,2.17
CUST00053,54,54.44,1,two_year,49,seoul,no,,,7.89
CUST00054,1,46.29,1,monthly,70,daegu,no,,,7.85
CUST00055,67,32.12,0,monthly,60,gwangju,no,,,8.39
