machine_id,temperature,vibration,pressure,defect
M0,55,0.1,101,fault
M1,58,0.25,103,fault
M2,61,0.4,105,normal
M3,64,0.55,107,normal
M0,67,0.7,109,normal
M1,70,0.85,101,fault
M2,73,0.1,103,fault
M3,76,0.25,105,normal
M0,79,0.4,107,normal
M1,55,0.55,109,normal
M2,58,0.7,101,fault
M3,61,0.85,103,fault
M0,64,0.1,105,normal
M1,67,0.25,107,normal
M2,70,0.4,109,normal
M3,73,0.55,101,fault
M0,76,0.7,103,fault
M1,79,0.85,105,normal
M2,55,0.1,107,normal
M3,58,0.25,109,normal
M0,61,0.4,101,fault
M1,64,0.55,103,fault
M2,67,0.7,105,normal
M3,70,0.85,107,normal
M0,73,0.1,109,normal
M1,76,0.25,101,fault
M2,79,0.4,103,fault
M3,55,0.55,105,normal
M0,58,0.7,107,normal
M1,61,0.85,109,normal
M2,64,0.1,101,fault
M3,67,0.25,103,fault
M0,70,0.4,105,normal
M1,73,0.55,107,normal
M2,76,0.7,109,normal
M3,79,0.85,101,fault
